feature,fraud_rate_at_0,fraud_rate_at_1,difference,variance,info
age_of_driver__address_change_ind__witness_present_ind__vehicle_category__claim_date.day_present,0.11975727288952347,0.1756070016939582,0.05584972880443474,0.2143958337191572,0.047895796680062455
gender__marital_status__safty_rating__high_education_ind__liab_prct_present,0.18149195302305351,0.13391640163562019,-0.04757555138743333,0.24989531517183056,0.047555629633745086
marital_status__safty_rating__high_education_ind__liab_prct_present,0.1919564172408268,0.1403180542563143,-0.05163836298451249,0.22651850720101735,0.04678817959022416
marital_status__safty_rating__high_education_ind__claim_date.month__state_present,0.20525714285714286,0.14311926605504588,-0.06213787680209698,0.18398977412325374,0.04573093566926557
age_of_driver__witness_present_ind__vehicle_color__claim_date.dayofweek__state_present,0.12941010443127293,0.1769287154113982,0.047518610980125275,0.23870648369353853,0.0453720021482675
age_of_driver__witness_present_ind__policy_report_filed_ind__claim_date.month__claim_date.dayofweek_present,0.1174227217984745,0.1738362267629436,0.056413504964469105,0.20018296078177186,0.045172089807458446
age_of_driver__witness_present_ind__vehicle_category__vehicle_color__claim_date.dayofweek_present,0.11353517364203028,0.17308261770802488,0.059547444065994604,0.18728798513497663,0.0446100832762314
marital_status__safty_rating__high_education_ind__vehicle_category__claim_date.day_present,0.18993171351437194,0.14116038622575408,-0.048771327288617855,0.22746260903383517,0.0443746134044484
age_of_driver__witness_present_ind__policy_report_filed_ind__vehicle_color__claim_date.month_present,0.1187762447510498,0.17339795368874528,0.05462170893769548,0.20065311961775661,0.04384006518880679
age_of_driver__witness_present_ind__vehicle_category__claim_date.month__state_present,0.12260536398467432,0.17381579998402427,0.05121043599934995,0.21179151619534423,0.043383743541307855
marital_status__safty_rating__high_education_ind__claim_date.dayofweek__state_present,0.23536392405063292,0.14561789038262668,-0.08974603366800624,0.1207265094974412,0.04333890154391293
marital_status__safty_rating__high_education_ind__living_status__liab_prct_present,0.1793095985282978,0.13597442630437265,-0.04333517222392516,0.2498346173552851,0.04330650468235889
marital_status__safty_rating__high_education_ind__claim_date.month__claim_date.dayofweek_present,0.1920737006779072,0.1423205683024414,-0.049753132375465775,0.217471930539351,0.04327963899228971
age_of_driver__address_change_ind__witness_present_ind__claim_date.month__claim_date.dayofweek_present,0.11976284584980237,0.1732612055641422,0.05349835971433983,0.20209888203665632,0.04324783475625189
marital_status__safty_rating__high_education_ind__vehicle_color__claim_date.month_present,0.19097693351424694,0.14226701916721746,-0.04870991434702948,0.22027515108864074,0.042918334969226674
age_of_driver__witness_present_ind__vehicle_category__claim_date.month__claim_date.dayofweek_present,0.13135534196963367,0.17604657610202384,0.04469123413239018,0.2397786265903661,0.042864010963572036
marital_status__safty_rating__high_education_ind__vehicle_color__claim_date.dayofweek_present,0.2117417918753478,0.14487019297514925,-0.06687159890019856,0.15980876715373074,0.042746671111358034
marital_status__safty_rating__high_education_ind__vehicle_color__claim_date.day_present,0.17648738695859115,0.13262174783188793,-0.043865639126703215,0.243022683358952,0.0426413813113074
age_of_driver__witness_present_ind__policy_report_filed_ind__claim_date.day__state_present,0.13515465158262124,0.17800020637705088,0.04284555479442964,0.24854010099326507,0.042595354062880064
marital_status__safty_rating__high_education_ind__liab_prct__claim_date.year_present,0.17883092940028197,0.13657591980863423,-0.04225500959164774,0.24986313745825384,0.042231877079590856
marital_status__safty_rating__high_education_ind__accident_site__claim_date.day_present,0.18937150378413953,0.14234188894480793,-0.0470296148393316,0.2236603144619146,0.042074633775950526
age_of_driver__witness_present_ind__policy_report_filed_ind__vehicle_category__claim_date.day_present,0.12422923467537178,0.17323402210475733,0.04900478742938555,0.2125050280571143,0.04165505491045799
age_of_driver__witness_present_ind__vehicle_color__age_group__claim_date.day_present,0.12867530825165982,0.17423333904402946,0.04555803079236964,0.22794391046416154,0.04153870276743768
age_of_driver__witness_present_ind__vehicle_color__claim_date.day_present,0.12867530825165982,0.17423333904402946,0.04555803079236964,0.22794391046416154,0.04153870276743768
marital_status__safty_rating__high_education_ind__claim_date.day__state_present,0.17900959179121123,0.1375913216736772,-0.04141827011753402,0.2500103215610744,0.04141998012235247
marital_status__high_education_ind__living_status__liab_prct__claim_date.day_present,0.1864741641337386,0.14194395796847636,-0.04453020616526224,0.23193757677895688,0.04131291244575316
gender__marital_status__safty_rating__high_education_ind__claim_date.day_present,0.20059401416495318,0.14460838288189093,-0.05598563128306225,0.18404686371465084,0.041215919402929804
marital_status__safty_rating__high_education_ind__claim_date.year__claim_date.day_present,0.1999098489970701,0.14458453144584532,-0.05532531755122477,0.18574806933718543,0.0411062836824268
marital_status__safty_rating__high_education_ind__accident_site__liab_prct_present,0.1754172135758485,0.13321516225797655,-0.04220205131787194,0.24144688285151636,0.04075821496255963
age_of_driver__address_change_ind__witness_present_ind__liab_prct__claim_date.year_present,0.13671599718111346,0.17752477335020028,0.04080877616908682,0.24928484915828655,0.04069203844658035
age_of_driver__address_change_ind__living_status__witness_present_ind__claim_date.day_present,0.10863661053775123,0.17097359966475764,0.062336989127006415,0.16272162033693227,0.04057430351068885
safty_rating__high_education_ind__vehicle_color__claim_date.day_present,0.18191517738063484,0.14130641782517617,-0.04060875955545867,0.2430505274984413,0.0394799217240464
age_of_driver__gender__witness_present_ind__claim_date.month__claim_date.dayofweek_present,0.12319557049634171,0.17190759483890905,0.04871202434256734,0.20202588724064915,0.03936435974838107
marital_status__safty_rating__high_education_ind__claim_date.day__zipcode_type_present,0.19441019317714756,0.1448149840109639,-0.04959520916618365,0.19726418134340795,0.039133433338889204
age_of_driver__living_status__witness_present_ind__vehicle_category__claim_date.day_present,0.12537481259370314,0.1720625394819962,0.04668772688829306,0.20857672339821345,0.038951892389083344
marital_status__safty_rating__high_education_ind__vehicle_color__state_present,0.22779769016328155,0.1469429918006327,-0.08085469836264886,0.12004641924551362,0.03882526807044836
age_of_driver__witness_present_ind__vehicle_category__vehicle_color__claim_date.month_present,0.1342134213421342,0.174496644295302,0.0402832229531678,0.24079737763209072,0.038800377798766605
marital_status__high_education_ind__liab_prct__claim_date.month__state_present,0.18447044522109102,0.14309484193011648,-0.04137560329097453,0.23195251279392065,0.038388700606823825
age_of_driver__accident_site__witness_present_ind__vehicle_color__claim_date.dayofweek_present,0.1184331797235023,0.17086383601756955,0.05243065629406725,0.18298670913816198,0.0383764530128217
marital_status__safty_rating__high_education_ind__living_status__claim_date.day_present,0.19728506787330316,0.14550810014727542,-0.051776967726027745,0.18526831737565666,0.03837052675765936
age_of_driver__address_change_ind__witness_present_ind__vehicle_color__claim_date.day_present,0.14100518548065416,0.17987957852483694,0.038874393044182776,0.24675202943373403,0.038369341506626936
age_of_driver__living_status__witness_present_ind__vehicle_color__claim_date.day_present,0.14072646103896103,0.17939587426326128,0.03866941322430026,0.24775223314875516,0.03832173392348957
marital_status__safty_rating__high_education_ind__address_change_ind__liab_prct_present,0.17710843373493976,0.13878241262683202,-0.03832602110810773,0.24996172626874327,0.038320153588779604
